Field of study,All locations,New England,Connecticut,Maine,Massachusetts,New Hampshire,Rhode Island,Vermont,Middle Atlantic,New Jersey,New York,Pennsylvania,East North Central,Illinois,Indiana,Michigan,Ohio,Wisconsin,West North Central,Iowa,Kansas,Minnesota,Missouri,Nebraska,North Dakota,South Dakota,South Atlantic,Delaware,District of Columbia,Florida,Georgia,Maryland,North Carolina,South Carolina,Virginia,West Virginia,East South Central,Alabama,Kentucky,Mississippi,Tennessee,West South Central,Arkansas,Louisiana,Oklahoma,Texas,Mountain,Arizona,Colorado,Idaho,Montana,Nevada,New Mexico,Utah,Wyoming,Pacific,Alaska,California,Hawaii,Oregon,Washington,Puerto Rico,U.S. territories and other areas
All fields,110000,115000,115000,99000,120000,96000,109000,102000,115000,130000,115000,108000,101000,110000,100000,100000,102000,92000,97000,92000,92000,105000,100000,81000,89000,93000,109000,119000,129000,97000,96000,120000,103000,90000,112000,82000,95000,99000,92000,90000,97000,101000,89000,86000,92000,109000,100000,103000,100000,97000,83000,98000,123000,98000,75000,125000,93000,130000,89000,110000,119000,80000,99000
Science,104000,110000,106000,96000,113000,94000,103000,100000,110000,129000,111000,100000,99000,100000,100000,96000,99000,90000,93000,85000,86000,99000,100000,80000,90000,95000,105000,103000,130000,90000,93000,115000,102000,85000,108000,74000,90000,90000,90000,85000,90000,95000,82000,85000,91000,100000,97000,100000,96000,82000,80000,96000,116000,94000,72000,118000,90000,120000,89000,97000,110000,75000,89000
"Biological, agricultural and environmental life sciences",100000,105000,108000,99000,109000,85000,99000,88000,106000,120000,104000,104000,95000,96000,100000,88000,99000,82000,96000,88000,92000,94000,106000,90000,86000,98000,102000,106000,115000,82000,102000,113000,100000,84000,100000,76000,90000,90000,100000,88000,88000,93000,84000,82000,92000,96000,90000,104000,89000,89000,75000,91000,99000,85000,75000,110000,87000,115000,94000,96000,109000,83000,81000
Computer and information sciences,139000,125000,125000,D,126000,D,D,D,150000,148000,150000,138000,119000,126000,90000,107000,137000,116000,107000,D,D,161000,113000,D,D,D,123000,D,S,116000,99000,130000,126000,95000,124000,D,101000,106000,D,D,97000,114000,S,101000,S,118000,123000,D,129000,D,D,D,145000,117000,D,157000,D,157000,D,140000,158000,S,S
Mathematics and statistics,108000,118000,105000,D,129000,78000,100000,S,125000,134000,134000,109000,93000,93000,83000,90000,101000,98000,90000,70000,74000,99000,100000,119000,D,S,110000,S,131000,97000,98000,111000,111000,83000,122000,D,68000,61000,81000,D,65000,96000,85000,138000,76000,95000,94000,96000,90000,D,D,S,114000,109000,D,125000,D,134000,103000,88000,124000,D,70000
Physical sciences,114000,119000,107000,100000,124000,106000,105000,90000,116000,143000,110000,108000,105000,113000,110000,105000,102000,89000,99000,78000,84000,108000,86000,73000,81000,62000,112000,119000,124000,88000,85000,126000,105000,99000,111000,83000,90000,87000,91000,82000,98000,112000,76000,87000,99000,120000,107000,100000,105000,95000,118000,94000,143000,94000,73000,125000,101000,130000,92000,109000,108000,76000,111000
Psychology,98000,100000,110000,87000,99000,86000,116000,95000,100000,111000,100000,98000,97000,99000,94000,100000,90000,90000,94000,98000,85000,97000,96000,84000,D,109000,95000,80000,120000,92000,89000,104000,97000,88000,97000,106000,85000,98000,85000,64000,90000,88000,74000,81000,82000,90000,93000,91000,91000,74000,88000,94000,76000,103000,D,102000,88000,107000,76000,87000,100000,56000,86000
Social sciences,99000,104000,102000,75000,108000,95000,101000,110000,102000,106000,112000,93000,90000,97000,80000,84000,85000,83000,79000,78000,90000,84000,74000,65000,79000,D,115000,88000,146000,90000,89000,110000,96000,78000,119000,69000,86000,99000,75000,79000,85000,80000,90000,72000,77000,80000,90000,100000,93000,70000,66000,85000,95000,87000,67000,100000,82000,107000,68000,90000,90000,85000,89000
Engineering,129000,130000,129000,103000,133000,128000,132000,101000,125000,134000,120000,126000,120000,120000,118000,116000,125000,99000,109000,105000,108000,129000,105000,90000,84000,D,119000,127000,125000,108000,113000,134000,108000,99000,121000,96000,119000,129000,110000,110000,115000,128000,137000,102000,107000,130000,120000,120000,118000,124000,86000,89000,136000,119000,S,145000,108000,149000,110000,124000,148000,82000,111000
Health,104000,120000,119000,D,131000,94000,D,D,116000,132000,116000,111000,93000,100000,84000,86000,92000,103000,95000,95000,97000,97000,90000,78000,D,S,105000,97000,110000,93000,95000,123000,103000,75000,113000,96000,90000,87000,91000,91000,83000,94000,88000,73000,72000,100000,90000,69000,90000,94000,51000,115000,112000,93000,D,114000,*,120000,73000,91000,98000,D,D
